fips,state,year,race,ent,perm,nperm,stock,invest,pop,ent_rate,perm_rate,nperm_rate,stock_rate,invest_rate,ent_rate_adj,stock_rate_adj,invest_rate_adj
22,Louisiana,2000,white,1256,942,247,1903,,672684,1.86714713000458,495.007882291119,129.795060430899,2.82896575509452,,1.77925977042823,2.7929556019197,
22,Louisiana,2000,black,1806,1343,510,3346,,489311,3.69090414889508,401.374775851763,152.420800956366,6.83818675648003,,3.42586223700131,6.79356691599866,
22,Louisiana,2000,aapi,6,7,3,11,,16275,0.368663594470046,636.363636363636,272.727272727273,0.675883256528418,,0.353852830939888,0.662196767323287,
22,Louisiana,2000,aian,4,8,0,15,,8523,0.469318315147249,533.333333333333,0,1.75994368180218,,0.471309991674584,1.67693831329855,
22,Louisiana,2000,hispanic,49,33,8,51,,30877,1.58694173656767,647.058823529412,156.862745098039,1.65171486867247,,1.51589910284736,1.6915014343718,
23,Maine,2000,total,1052,588,21,3191,,301407,3.49029717292565,184.268254465685,6.58100908806017,10.5870135730093,,3.05098872437566,9.8130717893518,
23,Maine,2000,white,639,487,16,2474,,288517,2.21477417275239,196.847210994341,6.46725949878739,8.57488466884101,,1.89135241121427,7.85503417298529,
23,Maine,2000,black,15,7,0,56,,3555,4.21940928270042,125,0,15.7524613220816,,3.86411740027293,13.7729110563692,
23,Maine,2000,aapi,9,2,0,21,,3118,2.88646568313021,95.2380952380952,0,6.73508659397049,,2.24898178620545,6.26955518034345,
23,Maine,2000,aian,15,9,3,40,,2602,5.76479631053036,225,75,15.3727901614143,,4.65534423523888,13.250825480123,
23,Maine,2000,hispanic,22,8,0,77,,3615,6.08575380359613,103.896103896104,0,21.3001383125864,,5.39318656097147,17.6505460035415,
24,Maryland,2000,total,3928,2502,312,13113,,1356961,2.89470367976677,190.803019903912,23.7931823381377,9.66350543604422,,2.52298098126853,8.8429838606484,
24,Maryland,2000,white,1029,657,107,2464,,774147,1.32920491844572,266.63961038961,43.4253246753247,3.18285803600608,,1.20736624065254,2.84256245811023,
24,Maryland,2000,black,2698,1745,189,10240,,449237,6.00573861903628,170.41015625,18.45703125,22.7942043954527,,5.17343421694866,20.9759099609684,
24,Maryland,2000,aapi,17,13,1,37,,56456,0.30111945585943,351.351351351351,27.027027027027,0.655377639223466,,0.260535264844338,0.4915333979821,
24,Maryland,2000,aian,2,4,0,14,,4210,0.475059382422803,285.714285714286,0,3.32541567695962,,0.523783074254063,2.54655725061949,
24,Maryland,2000,hispanic,91,40,9,169,,72911,1.24809699496647,236.686390532544,53.2544378698225,2.31789441922344,,1.05177534883401,2.21702396036244,
25,Massachusetts,2000,total,7381,4689,596,11619,,1501334,4.91629444214279,403.563129357088,51.2952921938205,7.73911734497454,,4.60105228190949,7.34836899853582,
25,Massachusetts,2000,white,3328,2304,318,5396,,1156534,2.87756347846237,426.98295033358,58.9325426241661,4.66566482265113,,2.7560086876236,4.37373223997792,
25,Massachusetts,2000,black,999,698,117,2010,,115482,8.65069881020419,347.26368159204,58.2089552238806,17.4053099184288,,7.94917491441749,16.2418588101686,
25,Massachusetts,2000,aapi,142,95,7,186,,65670,2.16232678544236,510.752688172043,37.6344086021505,2.83234353586112,,2.15361765989191,2.702322124336,
25,Massachusetts,2000,aian,17,3,5,30,,4159,4.08752103871123,100,166.666666666667,7.21327242125511,,3.84100574969269,7.11122138946294,
25,Massachusetts,2000,hispanic,1220,765,93,2356,,159489,7.64943036823856,324.702886247878,39.4736842105263,14.7721786455492,,7.49365614702683,14.5942672826205,
26,Michigan,2000,total,10707,6172,1612,20034,,2596114,4.12424107724083,308.076270340421,80.4632125386843,7.71691844040747,,3.6922763211934,7.34562029077062,
26,Michigan,2000,white,0,0,0,0,,1919991,0,,,0,,0,0,
26,Michigan,2000,black,0,0,0,0,,475537,0,,,0,,0,0,
26,Michigan,2000,aapi,0,0,0,0,,54480,0,,,0,,0,0,
26,Michigan,2000,aian,0,0,0,0,,21406,0,,,0,,0,0,
26,Michigan,2000,hispanic,0,0,0,0,,124700,0,,,0,,0,0,
27,Minnesota,2000,total,10803,8885,1046,8530,,1289715,8.37626917574813,1041.61781946073,122.626025791325,6.61386430335384,,7.84575675924086,6.19987279147147,
27,Minnesota,2000,white,6141,5059,593,4476,,1075464,5.71009350382719,1130.25022341376,132.48436103664,4.16192452745978,,5.29821707256748,3.81056150624242,
27,Minnesota,2000,black,2100,1779,206,1834,,76323,27.5146417200582,970.010905125409,112.322791712105,24.0294537688508,,26.3189510838806,23.9681160612367,
27,Minnesota,2000,aapi,337,289,22,130,,59670,5.64772917714094,2223.07692307692,169.230769230769,2.17864923747277,,5.49432434813178,1.92611514539732,
27,Minnesota,2000,aian,904,731,113,925,,21917,41.2465209654606,790.27027027027,122.162162162162,42.2046812976229,,37.7979591095061,40.049063339223,
27,Minnesota,2000,hispanic,588,466,44,491,,56341,10.4364494772901,949.08350305499,89.6130346232179,8.71479029481195,,10.9748442302347,8.96611882471099,
